bed_id,species,length
BKY01,M. falcata,6.35
BKY01,M. falcata,7.1
BKY01,M. falcata,11.9
BKY01,M. falcata,11.6
BKY01,M. falcata,5.45
BKY01,M. falcata,6.25
BKY01,M. falcata,8.4
BKY01,M. falcata,6.4
BKY01,M. falcata,11.8
BKY01,M. falcata,9.5
BKY01,M. falcata,7
BKY01,M. falcata,2.25
BKY01,M. falcata,4.8
BKY01,M. falcata,6.6
BKY01,M. falcata,6.2
BKY01,M. falcata,8.6
BKY01,M. falcata,10.5
BKY01,M. falcata,9.5
BKY01,M. falcata,8.7
COW01,M. falcata,4
COW01,M. falcata,5.5
COW01,M. falcata,4.2
COW01,M. falcata,3.9
COW01,M. falcata,3.8
COW01,M. falcata,4
COW01,M. falcata,4.9
COW01,M. falcata,6.56
COW01,M. falcata,5.5
COW01,M. falcata,3.8
COW01,M. falcata,4.5
COW01,M. falcata,6.3
COW01,M. falcata,4.9
COW01,M. falcata,4.1
COW01,M. falcata,5.3
COW01,M. falcata,5.1
COW01,M. falcata,3.7
COW01,M. falcata,5.3
COW01,M. falcata,5.5
COW01,M. falcata,4.2
COW01,M. falcata,4.5
COW01,M. falcata,4.8
COW01,M. falcata,4.5
COW01,M. falcata,5.8
COW01,M. falcata,4.7
COW01,M. falcata,4.5
COW01,M. falcata,4.9
COW01,M. falcata,2.2
COW01,M. falcata,4
COW01,M. falcata,2.8
COW01,M. falcata,4.6
COW01,M. falcata,5.5
COW01,M. falcata,4.5
COW01,M. falcata,5.1
COW01,M. falcata,3
COW01,M. falcata,5
COW01,M. falcata,4.4
COW01,M. falcata,4.2
COW01,M. falcata,5.4
COW01,M. falcata,6.6
COW01,M. falcata,5.8
COW01,M. falcata,3.2
COW01,M. falcata,3.2
COW01,M. falcata,6
COW01,M. falcata,2.9
COW01,M. falcata,6
COW01,M. falcata,5.9
COW01,M. falcata,3.1
COW01,M. falcata,4
COW01,M. falcata,5.1
COW01,M. falcata,2.2
COW01,M. falcata,6.1
COW01,M. falcata,6.4
COW01,M. falcata,5
COW01,M. falcata,5
COW01,M. falcata,4.5
COW01,M. falcata,7.8
COW01,M. falcata,4.8
COW01,M. falcata,6.7
COW01,M. falcata,5.1
COW01,M. falcata,5.2
COW01,M. falcata,5.5
COW01,M. falcata,5.9
COW01,M. falcata,5.1
COW01,M. falcata,4.8
COW01,M. falcata,4
COW01,M. falcata,4
COW01,M. falcata,3.9
COW01,M. falcata,4
COW01,M. falcata,4.6
COW01,M. falcata,6.8
COW01,M. falcata,5.4
COW01,M. falcata,3.9
COW01,M. falcata,4.4
COW01,M. falcata,4.6
COW01,M. falcata,6.1
COW01,M. falcata,4.9
COW01,M. falcata,5.3
COW01,M. falcata,6.6
COW01,M. falcata,9.5
COW01,M. falcata,5.3
COW01,M. falcata,4.7
COW01,M. falcata,2.6
COW01,M. falcata,4.9
COW01,M. falcata,6.7
COW01,M. falcata,4.2
COW01,M. falcata,5.2
COW01,M. falcata,5.3
COW01,M. falcata,3.9
COW01,M. falcata,4.7
COW01,M. falcata,2.3
COW01,M. falcata,6.2
COW01,M. falcata,5.1
COW01,M. falcata,4.6
COW01,M. falcata,4.6
COW01,M. falcata,4.1
COW01,M. falcata,7
TIL02,Anodonta sp.,2.9
TIL02,Anodonta sp.,3.8
TIL02,Anodonta sp.,4.8
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,3.9
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,3.6
TIL02,Anodonta sp.,5.2
TIL02,Anodonta sp.,4.9
TIL02,Anodonta sp.,5.9
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.8
TIL02,Anodonta sp.,4.8
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,6.1
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,4.1
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.1
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,2.4
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,3.8
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,3.7
TIL02,Anodonta sp.,4.1
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,3.9
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,6
TIL02,Anodonta sp.,4.3
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,3.7
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.9
TIL02,Anodonta sp.,6.2
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,6.1
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,0.25
TIL02,Anodonta sp.,7
TIL02,Anodonta sp.,4.1
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,6.1
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,4.3
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.9
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.9
TIL02,Anodonta sp.,0.35
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,3.9
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.2
TIL02,Anodonta sp.,0.4
TIL02,Anodonta sp.,0.4
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.4
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.4
TIL02,Anodonta sp.,0.4
TIL02,Anodonta sp.,0.45
TIL02,Anodonta sp.,0.45
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.4
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.45
TIL02,Anodonta sp.,0.45
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,5.2
TIL02,Anodonta sp.,4.4
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.2
TIL02,Anodonta sp.,1.8
TIL02,Anodonta sp.,5.2
TIL02,Anodonta sp.,5.1
TIL03,M. falcata,7.7
TIL03,M. falcata,7.5
TIL03,M. falcata,10.2
TIL03,M. falcata,9.1
TIL03,M. falcata,9.6
TIL03,M. falcata,6.2
TIL03,M. falcata,7.8
TIL03,M. falcata,8.5
TIL03,M. falcata,5.6
TIL03,M. falcata,9.8
TIL03,M. falcata,9.8
TIL03,M. falcata,7.5
TIL03,M. falcata,8
TIL03,M. falcata,7.4
TIL03,M. falcata,5.7
TIL03,M. falcata,9.5
TIL03,M. falcata,4.9
TIL03,M. falcata,7.7
TIL03,M. falcata,7.7
TIL03,M. falcata,8.5
TIL03,M. falcata,8.2
TIL03,M. falcata,9.9
TIL03,M. falcata,7.3
TIL03,M. falcata,9.6
TIL03,M. falcata,9.6
TIL03,M. falcata,9.4
TIL03,M. falcata,10
TIL03,M. falcata,9.4
TIL03,M. falcata,9.2
TIL03,M. falcata,9.9
TIL03,M. falcata,10.8
TIL03,M. falcata,10.5
TIL03,M. falcata,7.1
TIL03,M. falcata,9.1
TIL03,M. falcata,9.5
TIL03,M. falcata,11.7
TIL03,M. falcata,3.8
TIL03,M. falcata,4.3
TIL03,M. falcata,9.2
TIL03,M. falcata,9.5
TIL03,M. falcata,11.4
TIL03,M. falcata,10.1
TIL03,M. falcata,2.1
TIL03,M. falcata,9
TIL03,M. falcata,9.5
TIL03,M. falcata,9.4
TIL03,M. falcata,8.4
TIL03,M. falcata,10.5
TIL03,M. falcata,9.6
TIL03,M. falcata,9.5
TIL03,M. falcata,5.3
TIL03,M. falcata,8.9
TIL03,M. falcata,6.1
TIL03,M. falcata,7.2
TIL03,M. falcata,6.2
TIL03,M. falcata,7.9
TIL03,M. falcata,6.4
TIL03,M. falcata,2.4
TIL03,M. falcata,3.6
TIL03,M. falcata,9.4
TIL03,M. falcata,9.5
TIL03,M. falcata,9.5
TIL03,M. falcata,9.9
TIL03,M. falcata,9.3
TIL03,M. falcata,9.7
TIL03,M. falcata,9.6
TIL03,M. falcata,9.5
TIL03,M. falcata,8.9
TIL03,M. falcata,9.2
TIL03,M. falcata,8.6
TIL03,M. falcata,6.8
TIL03,M. falcata,8.8
TIL03,M. falcata,3.6
TIL03,M. falcata,3.4
TIL03,M. falcata,9.5
TIL03,M. falcata,9.7
TIL03,M. falcata,4.4
TIL03,M. falcata,7.5
TIL03,M. falcata,3.5
TIL03,M. falcata,8.9
TIL03,M. falcata,8.7
TIL03,M. falcata,9.2
TIL03,M. falcata,9
TIL03,M. falcata,8.7
TIL03,M. falcata,3.3
TIL03,M. falcata,6.8
TIL03,M. falcata,5.9
TIL03,M. falcata,7.9
TIL03,M. falcata,9.4
TIL03,M. falcata,7.6
TIL03,M. falcata,2.5
TIL03,M. falcata,4.3
TIL03,M. falcata,2.6
TIL03,M. falcata,9.9
TIL03,M. falcata,6.2
TIL03,M. falcata,1.6
TIL03,M. falcata,8.9
TIL03,M. falcata,10.2
TIL03,M. falcata,10.4
TIL03,M. falcata,8.8
TIL03,M. falcata,8.6
TIL03,M. falcata,9.7
TIL03,M. falcata,9.9
TIL03,M. falcata,9.6
TIL03,M. falcata,9.7
TIL03,M. falcata,10.2
TIL03,M. falcata,10
TIL03,M. falcata,10.6
TIL03,M. falcata,9.6
TIL03,M. falcata,9.3
TIL03,M. falcata,9.8
TIL03,M. falcata,10.5
TIL03,M. falcata,9.2
TIL03,M. falcata,11.3
TIL03,M. falcata,10.1
TIL03,M. falcata,9.9
TIL03,M. falcata,9.1
TIL03,M. falcata,10.3
TIL03,M. falcata,9.6
TIL03,M. falcata,9.3
TIL03,M. falcata,9.7
TIL03,M. falcata,9.2
TIL03,M. falcata,10.1
TIL03,M. falcata,9.2
TIL03,M. falcata,9.4
TIL03,M. falcata,9.6
TIL03,M. falcata,9.8
TIL03,M. falcata,10.3
TIL03,M. falcata,10.1
TIL03,M. falcata,9.7
TIL03,M. falcata,8.9
TIL03,M. falcata,9.7
TIL03,M. falcata,10.9
TIL03,M. falcata,10.1
TIL03,M. falcata,9.5
TIL03,M. falcata,9
TIL03,M. falcata,10.3
TIL03,M. falcata,9.9
TIL03,M. falcata,9.9
TIL03,M. falcata,9
TIL03,M. falcata,9.8
TIL03,M. falcata,10.3
TIL03,M. falcata,9.4
TIL03,M. falcata,9.7
TIL03,M. falcata,10.1
TIL03,M. falcata,9.2
TIL03,M. falcata,9.6
TIL03,M. falcata,10.5
TIL03,M. falcata,10.3
TIL03,M. falcata,10.3
TIL03,M. falcata,9.5
TIL03,M. falcata,9
TIL03,M. falcata,8.5
TIL03,M. falcata,8.1
TIL03,M. falcata,5.2
TIL03,M. falcata,6.9
TIL03,M. falcata,9.1
TIL03,M. falcata,7
TIL03,M. falcata,8.1
TIL03,M. falcata,6.2
TIL03,M. falcata,8
TIL03,M. falcata,6.8
TIL03,M. falcata,8.4
TIL03,M. falcata,7.1
TIL03,M. falcata,8.6
TIL03,M. falcata,7.1
TIL03,M. falcata,7
TIL03,M. falcata,9.2
TIL03,M. falcata,7.7
TIL03,M. falcata,9.4
TIL03,M. falcata,8.1
TIL03,M. falcata,7.1
TIL03,M. falcata,10
TIL03,M. falcata,8.4
TIL03,M. falcata,7.2
TIL03,M. falcata,8
TIL03,M. falcata,7.6
TIL03,M. falcata,6.2
TIL03,M. falcata,8.3
TIL03,M. falcata,8.1
TIL03,M. falcata,7.7
TIL03,M. falcata,8.1
TIL03,M. falcata,8.8
TIL03,M. falcata,8.2
TIL03,M. falcata,6.8
TIL03,M. falcata,7.4
TIL03,M. falcata,7.1
TIL03,M. falcata,8
TIL03,M. falcata,7
TIL03,M. falcata,6.6
TIL03,M. falcata,7.2
TIL03,M. falcata,5.8
TIL03,M. falcata,6
TIL03,M. falcata,7.4
TIL03,M. falcata,7.2
TIL03,M. falcata,7.8
TIL03,M. falcata,6.7
TIL03,M. falcata,7.2
TIL03,M. falcata,6.8
TIL03,M. falcata,7.5
TIL03,M. falcata,6.7
TIL03,M. falcata,6.5
TIL03,M. falcata,9.8
TIL03,M. falcata,9.2
TIL03,M. falcata,9.1
TIL03,M. falcata,8.2
TIL03,M. falcata,9
TIL03,M. falcata,8.3
TIL03,M. falcata,8.6
TIL03,M. falcata,3.1
TIL03,M. falcata,10.4
TIL03,M. falcata,9.3
TIL03,M. falcata,10.3
TIL03,M. falcata,10.2
TIL03,M. falcata,9.6
TIL03,M. falcata,9.2
TIL03,M. falcata,6.1
TIL03,M. falcata,10.5
TIL03,M. falcata,10.4
TIL03,M. falcata,10.4
TIL03,M. falcata,9.8
TIL03,M. falcata,8.4
TIL03,M. falcata,7.3
TIL03,M. falcata,10.1
TIL03,M. falcata,11.1
TIL03,M. falcata,9.5
TIL03,M. falcata,9.5
TIL03,M. falcata,10.7
TIL03,M. falcata,10.4
TIL03,M. falcata,9.4
TIL03,M. falcata,9.2
TIL03,M. falcata,10.1
TIL03,M. falcata,10.9
TIL03,M. falcata,11
TIL03,M. falcata,10.7
TIL03,M. falcata,11
TIL03,M. falcata,9.9
TIL03,M. falcata,9.5
TIL03,M. falcata,9.8
TIL03,M. falcata,9.7
TIL03,M. falcata,9.5
TIL03,M. falcata,9.8
TIL03,M. falcata,8.5
TIL03,M. falcata,9.4
TIL03,M. falcata,8.3
TIL03,M. falcata,9
TIL03,M. falcata,7.7
TIL03,M. falcata,9.6
TIL03,M. falcata,10.8
TIL03,M. falcata,10.2
TIL03,M. falcata,10.8
TIL03,M. falcata,10.6
TIL03,M. falcata,9.5
TIL03,M. falcata,9.9
TIL03,M. falcata,9.4
TIL03,M. falcata,9.7
TIL03,M. falcata,9.8
TIL03,M. falcata,7.3
TIL03,M. falcata,9.7
TIL03,M. falcata,10.2
TIL03,M. falcata,9.4
TIL03,M. falcata,10.2
TIL03,M. falcata,7.8
TIL03,M. falcata,8.2
TIL03,M. falcata,8
TIL03,M. falcata,10.7
TIL03,M. falcata,11.2
TIL03,M. falcata,9.8
TIL03,M. falcata,10.9
TIL03,M. falcata,9.5
TIL03,M. falcata,7.3
TIL03,M. falcata,10.1
TIL03,M. falcata,10
TIL03,M. falcata,9.1
TIL03,M. falcata,10.4
TIL03,M. falcata,9.6
TIL03,M. falcata,10.1
TIL03,M. falcata,10.5
TIL03,M. falcata,11.6
TIL03,M. falcata,10.1
TIL03,M. falcata,9.1
TIL03,M. falcata,9.7
TIL03,M. falcata,10.2
TIL03,M. falcata,8.9
TIL03,M. falcata,9.6
TIL03,M. falcata,9.7
TIL03,M. falcata,8.5
TIL03,M. falcata,7.9
TIL03,M. falcata,9
TIL03,M. falcata,10.1
TIL03,M. falcata,9.8
TIL03,M. falcata,9.4
TIL03,M. falcata,8.3
TIL03,M. falcata,8.2
TIL03,M. falcata,7.3
TIL03,M. falcata,7.4
TIL03,M. falcata,4
TIL03,M. falcata,4.2
TIL03,M. falcata,4.1
TIL03,M. falcata,3.2
TIL03,M. falcata,3.1
TIL03,M. falcata,3.6
TIL03,M. falcata,2.2
TIL03,M. falcata,1.5
TIL03,M. falcata,0.9
TIL03,M. falcata,0.5
TIL03,M. falcata,0.6
TIL03,M. falcata,7.5
TIL03,M. falcata,7.5
TIL03,M. falcata,7.7
TIL03,M. falcata,7.3
TIL03,M. falcata,6.8
TIL03,M. falcata,9
TIL03,M. falcata,9.1
TIL03,M. falcata,9
TIL03,M. falcata,8.1
TIL03,M. falcata,5.8
TIL03,M. falcata,4.1
TIL03,M. falcata,10
TIL03,M. falcata,9.5
TIL03,M. falcata,9.7
TIL03,M. falcata,7.9
TIL03,M. falcata,9.3
TIL03,M. falcata,8.9
TIL03,M. falcata,11.6
TIL03,M. falcata,9.2
TIL03,M. falcata,8.7
TIL03,M. falcata,9.8
TIL03,M. falcata,9.9
TIL03,M. falcata,10.1
TIL03,M. falcata,10.6
TIL03,M. falcata,9.6
TIL03,M. falcata,9.7
TIL03,M. falcata,9.6
TIL03,M. falcata,8.5
TIL03,M. falcata,8.4
TIL03,M. falcata,7.7
TIL03,M. falcata,9.5
TIL03,M. falcata,10.6
TIL03,M. falcata,9.7
TIL03,M. falcata,9.8
TIL03,M. falcata,11.4
TIL03,M. falcata,8.6
TIL03,M. falcata,7.3
TIL03,M. falcata,7.5
TIL03,M. falcata,8.2
TIL03,M. falcata,8
TIL03,M. falcata,7.1
TIL03,M. falcata,8.7
TIL03,M. falcata,9
TIL03,M. falcata,8.8
TIL03,M. falcata,9
TIL03,M. falcata,8.1
TIL03,M. falcata,8.2
TIL03,M. falcata,7.7
TIL03,M. falcata,8
TIL03,M. falcata,7.2
TIL03,M. falcata,8.3
TIL03,M. falcata,7.8
TIL03,M. falcata,7.2
TIL03,M. falcata,7.1
TIL03,M. falcata,8.1
TIL03,M. falcata,8.2
TIL03,M. falcata,9.1
TIL03,M. falcata,7.7
TIL03,M. falcata,8
TIL03,M. falcata,8.1
TIL03,M. falcata,7
TIL03,M. falcata,5.7
TIL03,M. falcata,6.5
TIL03,M. falcata,6.3
TIL03,M. falcata,6.1
TIL03,M. falcata,6.7
TIL03,M. falcata,5.8
TIL03,M. falcata,6.1
TIL03,M. falcata,6
TIL03,M. falcata,6.7
TIL03,M. falcata,6.2
TIL03,M. falcata,6.2
TIL03,M. falcata,5.9
TIL03,M. falcata,5.5
TIL03,M. falcata,5.2
TIL03,M. falcata,5.7
TIL03,M. falcata,5.6
TIL03,M. falcata,5.2
TIL03,M. falcata,5.5
TIL03,M. falcata,4.7
TIL03,M. falcata,4.8
TIL03,M. falcata,3.9
TIL03,M. falcata,3.5
TIL03,M. falcata,3.7
TIL03,M. falcata,3.1
TIL03,M. falcata,3.7
TIL03,M. falcata,2.4
TIL03,M. falcata,1.8
TIL03,M. falcata,1.6
TIL03,M. falcata,1.7
TIL03,M. falcata,0.08
TIL03,M. falcata,8.9
TIL03,M. falcata,10
TIL03,M. falcata,7.8
TIL03,M. falcata,9
TIL03,M. falcata,9.3
TIL03,M. falcata,10
TIL03,M. falcata,9.1
TIL03,M. falcata,9.2
TIL03,M. falcata,8.7
TIL03,M. falcata,9.4
TIL03,M. falcata,10.7
TIL03,M. falcata,10.1
TIL03,M. falcata,7.7
TIL03,M. falcata,6.5
TIL03,M. falcata,8.5
TIL03,M. falcata,8.4
TIL03,M. falcata,9.5
TIL03,M. falcata,9.7
TIL03,M. falcata,9
TIL03,M. falcata,10.1
TIL03,M. falcata,8.6
TIL03,M. falcata,8.3
TIL03,M. falcata,8.8
TIL03,M. falcata,8.4
TIL03,M. falcata,9.2
TIL03,M. falcata,8.3
TIL03,M. falcata,7.8
TIL03,M. falcata,8.1
TIL03,M. falcata,7.7
TIL03,M. falcata,8
TIL03,M. falcata,8.5
TIL03,M. falcata,9.4
TIL03,M. falcata,8.3
TIL03,M. falcata,8.2
TIL03,M. falcata,7.9
TIL03,M. falcata,8.1
TIL03,M. falcata,7.3
TIL03,M. falcata,7.7
TIL03,M. falcata,7.8
TIL03,M. falcata,7
TIL03,M. falcata,7.7
TIL03,M. falcata,5
TIL03,M. falcata,3.4
TIL03,M. falcata,9.4
TIL03,M. falcata,9.4
TIL03,M. falcata,8.8
TIL03,M. falcata,9.9
TIL03,M. falcata,10.1
TIL03,M. falcata,7.2
TIL03,M. falcata,9.6
TIL03,M. falcata,10
TIL03,M. falcata,8.8
TIL03,M. falcata,9.2
TIL03,M. falcata,9.4
TIL03,M. falcata,9.5
TIL03,M. falcata,8.5
TIL03,M. falcata,7.6
TIL03,M. falcata,8.2
TIL03,M. falcata,8.5
TIL03,M. falcata,8.1
TIL03,M. falcata,8.1
TIL03,M. falcata,7.4
TIL03,M. falcata,6.6
TIL03,M. falcata,7.4
TIL03,M. falcata,8.3
TIL03,M. falcata,7
TIL03,M. falcata,7.1
TIL03,M. falcata,8
TIL03,M. falcata,8.8
TIL03,M. falcata,7.7
TIL03,M. falcata,8
TIL03,M. falcata,6.6
TIL03,M. falcata,7.4
TIL03,M. falcata,7.1
TIL03,M. falcata,7.2
TIL03,M. falcata,8.1
TIL03,M. falcata,7.2
TIL03,M. falcata,8
TIL03,M. falcata,8.5
TIL03,M. falcata,7.6
TIL03,M. falcata,8
TIL03,M. falcata,7.5
TIL03,M. falcata,7.2
TIL03,M. falcata,8
TIL03,M. falcata,8.5
TIL03,M. falcata,8
TIL03,M. falcata,8
TIL03,M. falcata,7.9
TIL03,M. falcata,7.6
TIL03,M. falcata,7.1
TIL03,M. falcata,7.4
TIL03,M. falcata,8
TIL03,M. falcata,6
TIL03,M. falcata,7.2
TIL03,M. falcata,6.5
TIL03,M. falcata,7.1
TIL03,M. falcata,6.4
TIL03,M. falcata,6.5
TIL03,M. falcata,5.4
TIL03,M. falcata,8.1
TIL03,M. falcata,6
TIL03,M. falcata,7
TIL03,M. falcata,6.6
TIL03,M. falcata,6.4
TIL03,M. falcata,7.3
TIL03,M. falcata,5.8
TIL03,M. falcata,5.7
TIL03,M. falcata,6.7
TIL03,M. falcata,6.1
TIL03,M. falcata,5.6
TIL03,M. falcata,3.7
TIL03,M. falcata,3
TIL03,M. falcata,2.7
TIL03,M. falcata,3
TIL03,M. falcata,2.3
TIL03,M. falcata,9.6
TIL03,M. falcata,9.7
TIL03,M. falcata,10.2
TIL03,M. falcata,10.3
TIL03,M. falcata,9.8
TIL03,M. falcata,10
TIL03,M. falcata,8.2
TIL03,M. falcata,8.9
TIL03,M. falcata,9.1
TIL03,M. falcata,10.4
TIL03,M. falcata,8.4
TIL03,M. falcata,9
TIL03,M. falcata,9.3
TIL03,M. falcata,10.5
TIL03,M. falcata,8.9
TIL03,M. falcata,8.8
TIL03,M. falcata,8.6
TIL03,M. falcata,10.1
TIL03,M. falcata,9.2
TIL03,M. falcata,8.4
TIL03,M. falcata,9.3
TIL03,M. falcata,7.9
TIL03,M. falcata,9.3
TIL03,M. falcata,9.5
TIL03,M. falcata,8.5
TIL03,M. falcata,8.7
TIL03,M. falcata,8.8
TIL03,M. falcata,8.6
TIL03,M. falcata,6.2
TIL03,M. falcata,8.9
TIL03,M. falcata,7.4
TIL03,M. falcata,9.6
TIL03,M. falcata,10.2
TIL03,M. falcata,9.7
TIL03,M. falcata,9
TIL03,M. falcata,8.1
TIL03,M. falcata,5.2
TIL03,M. falcata,8.9
TIL03,M. falcata,10.6
TIL03,M. falcata,10
TIL03,M. falcata,9.3
TIL03,M. falcata,10.9
TIL03,M. falcata,8.9
TIL03,M. falcata,9.6
TIL03,M. falcata,9.5
TIL03,M. falcata,10.6
TIL03,M. falcata,7.8
TIL03,M. falcata,9.4
TIL03,M. falcata,9.8
TIL03,M. falcata,7.6
TIL03,M. falcata,8.9
TIL03,M. falcata,5.9
TIL03,M. falcata,9.7
TIL03,M. falcata,7.8
TIL03,M. falcata,8.4
TIL03,M. falcata,8.8
TIL03,M. falcata,7.2
TIL03,M. falcata,9.4
TIL03,M. falcata,6.9
TIL03,M. falcata,9.5
TIL03,M. falcata,8
TIL03,M. falcata,7.6
TIL03,M. falcata,8.3
TIL03,M. falcata,8.9
TIL03,M. falcata,9.6
TIL03,M. falcata,10.4
TIL03,M. falcata,10.1
TIL03,M. falcata,8.5
TIL03,M. falcata,10.3
TIL03,M. falcata,10.7
TIL03,M. falcata,8.5
TIL03,M. falcata,9.3
TIL03,M. falcata,10.1
TIL03,M. falcata,8.4
TIL03,M. falcata,9
TIL03,M. falcata,8.3
TIL03,M. falcata,10.2
TIL03,M. falcata,7.6
TIL03,M. falcata,5.6
TIL03,M. falcata,8.7
TIL03,M. falcata,8.1
TIL03,M. falcata,10.1
TIL03,M. falcata,8.1
TIL03,M. falcata,10
TIL03,M. falcata,9.3
TIL03,M. falcata,8.6
TIL03,M. falcata,8.8
TIL03,M. falcata,8
TIL03,M. falcata,10.4
TIL03,M. falcata,7.5
TIL03,M. falcata,10.3
TIL03,M. falcata,8.6
TIL03,M. falcata,8.8
TIL03,M. falcata,9.8
TIL03,M. falcata,9.4
TIL03,M. falcata,7.8
TIL03,M. falcata,9.1
TIL03,M. falcata,7.6
TIL03,M. falcata,9.5
TIL03,M. falcata,9.2
TIL03,M. falcata,7.7
TIL03,M. falcata,8.7
TIL03,M. falcata,8.8
TIL03,M. falcata,9
TIL03,M. falcata,8.2
TIL03,M. falcata,8
TIL03,M. falcata,9
TIL03,M. falcata,8.6
TIL03,M. falcata,7.1
TIL03,M. falcata,8.4
TIL03,M. falcata,9.5
TIL03,M. falcata,7.7
TIL03,M. falcata,6.7
TIL03,M. falcata,7
TIL03,M. falcata,8.4
TIL03,M. falcata,7.7
TIL03,M. falcata,7.5
TIL03,M. falcata,7.5
TIL03,M. falcata,8
TIL03,M. falcata,8.5
TIL03,M. falcata,6.6
TIL03,M. falcata,6.3
TIL03,M. falcata,7.8
TIL03,M. falcata,8.1
TIL03,M. falcata,7
TIL03,M. falcata,7
TIL03,M. falcata,6.3
TIL03,M. falcata,6.2
TIL03,M. falcata,5.3
TIL03,M. falcata,6.7
TIL03,M. falcata,6
TIL03,M. falcata,5.6
TIL03,M. falcata,6
TIL03,M. falcata,5.3
TIL03,M. falcata,4.2
TIL03,M. falcata,3.7
TIL03,M. falcata,3.6
TIL03,M. falcata,4
TIL03,M. falcata,3.1
TIL03,M. falcata,2.5
TIL03,M. falcata,4.5
TIL03,M. falcata,9.3
TIL03,M. falcata,7.5
TIL03,M. falcata,8.7
TIL03,M. falcata,8.3
TIL03,M. falcata,7.7
TIL03,M. falcata,8.4
TIL03,M. falcata,8
TIL03,M. falcata,8
TIL03,M. falcata,8.1
TIL03,M. falcata,7.6
TIL03,M. falcata,7
TIL03,M. falcata,6.5
TIL03,M. falcata,7.2
TIL03,M. falcata,7.1
TIL03,M. falcata,7.3
TIL03,M. falcata,4.1
TIL03,M. falcata,4.1
BKY02,M. falcata,5.1
BKY02,M. falcata,5.4
BKY02,M. falcata,6.1
BKY02,M. falcata,2.4
BKY04,M. falcata,8
BKY04,M. falcata,2.8
BKY04,M. falcata,6.8
BKY04,M. falcata,4.1
BKY04,M. falcata,2.2
BKY04,M. falcata,5.7