GRP,Trans_Num,Quad_Num,Surface_Live,Surface_Dead,Excavated_Live,Excavated_Dead,Notes,,
A,1,1,0,0,,,Start 9/13/18,,
A,1,3,0,0,,,,,
A,1,5,0,0,0,0,164 asian clams in excavation ,,
A,1,7,1,0,,,,,
A,2,2,0,0,,,,,
A,2,4,0,0,0,0,310 asian clams in excavation,,
A,2,6,0,0,,,1 surface crushed,,
A,3,1,0,0,,,,,
A,3,3,0,0,0,0,,,
A,3,5,0,0,,,,,
A,3,7,0,0,,,,,
A,4,2,0,0,0,0,,,
A,4,4,0,0,,,,,
A,4,6,0,1,,,,,
A,5,1,0,0,0,0,,,
A,5,3,0,0,,,,,
A,5,5,0,0,,,,,
A,5,7,0,0,0,0,,,
A,6,2,0,0,,,,,
A,6,4,0,0,,,1 surface crushed,,
A,6,6,0,0,0,0,1 buried crushed; end 9/13 @ 16:15,,
A,7,4,0,0,,,"start 9/14/18 @ 11:30, temp = 20 C",,
A,8,1,0,0,,,,,
A,8,5,0,0,0,0,,,
A,9,2,0,0,,,,,
A,9,6,0,1,,,half shell,,
A,10,3,0,0,0,0,,,
A,10,7,0,0,,,,,
A,11,4,0,0,,,,,
A,12,1,0,0,0,0,,,
A,12,5,0,0,,,,,
A,13,2,0,1,,,,,
A,13,6,0,0,0,0,,,
A,14,3,0,0,,,,,
A,14,6,0,0,,,,,
A,14,7,0,0,0,0,,,
B,1,6,0,0,,,,,
B,1,7,0,0,,,,,
B,1,8,0,0,0,0,1 surface crushed,,
B,1,9,0,0,,,,,
B,2,5,0,0,,,,,
B,2,7,0,0,0,0,,,
B,2,8,0,0,,,,,
B,2,9,0,0,,,,,
B,3,5,0,0,0,0,I surface crushed,,
B,3,6,0,0,,,,,
B,3,8,1,0,,,,,
B,3,9,0,0,0,0,,,
B,4,5,1,0,,,,,
B,4,6,0,1,,,1 surface crushed,,
B,4,7,0,0,0,1,,,
B,4,9,0,0,,,,,
B,5,5,0,0,,,,,
B,5,6,0,0,0,0,1 buried crushed,,
B,5,7,0,0,,,,,
B,5,8,0,0,,,,,
B,6,6,0,0,0,0,,,
B,6,7,0,0,,,,,
B,6,8,0,0,,,,,
B,6,9,0,1,0,0,,,
B,7,5,0,0,,,,,
B,7,7,0,0,,,,,
B,7,8,0,0,0,0,,,
B,7,9,0,0,,,,,
B,8,5,0,0,,,,,
B,8,6,0,0,0,0,1 buried crushed,,
B,8,8,0,0,,,,,
B,8,9,0,0,,,,,
B,9,5,0,0,0,0,172 asian clams,,
B,9,6,0,0,,,,,
B,9,7,0,0,,,,,
B,9,9,0,0,0,0,52 asian clams,,
C,1,3,0,0,,,,,
C,1,5,0,0,,,,,
C,1,7,0,0,,,,,
C,1,9,0,0,0,0,End 9/14/18 @ 16:48; temp = 19 C,,
C,2,3,0,0,,,"Start 9/15/18 @ 10:30, temp = 18 C",,
C,2,4,0,0,0,0,,,
C,2,6,0,1,,,,,
C,2,8,1,0,,,,,
C,3,3,0,0,0,0,,,
C,3,5,0,0,,,,,
C,3,7,0,0,,,,,
C,3,9,1,0,0,0,mussel was not embedded and may have been dislodged when fanning sediment ,,
C,4,4,0,0,,,,,
C,4,5,1,0,,,,,
C,4,6,0,0,0,0,1 buried crushed,,
C,4,8,0,0,,,,,
C,5,3,0,0,,,,,
C,5,5,0,0,0,0,254 asian clams,,
C,5,7,0,0,,,,,
C,5,9,0,0,,,,,
C,6,4,0,0,0,0,146 asian clams,,
C,6,6,0,0,,,,,
C,6,7,0,0,,,,,
C,6,8,0,0,0,0,,,
C,7,3,0,0,,,,,
C,7,5,0,1,,,,,
C,7,7,1,1,0,1,,,
C,7,9,0,0,,,,,
C,8,4,0,1,,,,,
C,8,6,0,0,0,0,,,
C,8,8,0,0,,,,,
C,8,9,0,0,,,,,
C,9,3,1,0,0,0,,,
C,9,5,0,0,,,,,
C,9,7,0,0,,,,,
C,9,9,0,0,0,0,"End 9/15/18 @ 15: 48, temp = 18 C",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,