obs_id,site_id,av_SLPE_gradient,av_acw,PkFld_2yr_m^3/s,PkFld_10yr_m^3/s,PkFld_25yr_m^3/s,FlwDur_5perc_m^3/s,Sstrpwr_2yr,Sstrpwr_10yr,Sstrpwr_25yr,Sstrpwr_5perc,huc12_id,prc_frst,prc_OPN,prc_dvlp,prc_Tdvlp,prc_ag,prc_TH
BKY0101,BKY01,0.001299685,132.9727593,1503.624735,2775.0513,3426.33885,305.82198,144.0260045,265.8107051,265.8107051,29.29342464,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0102,BKY01,0.001299685,132.9727593,1503.624735,2775.0513,3426.33885,305.82198,144.0260045,265.8107051,265.8107051,29.29342464,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0103,BKY01,0.001299685,132.9727593,1503.624735,2775.0513,3426.33885,305.82198,144.0260045,265.8107051,265.8107051,29.29342464,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0201,BKY02,0.00147014,187.8778182,1489.46631,2749.566135,3398.022,300.15861,114.2194095,210.8498985,210.8498985,23.01759963,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0301,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0302,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0303,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0304,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0401,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0402,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0403,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0404,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
TIL0201,TIL02,0.002443868,91.20221223,538.02015,1118.515575,1430.000925,128.8416675,141.2852994,293.7247015,293.7247015,33.83411118,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
TIL0202,TIL02,0.002443868,91.20221223,538.02015,1118.515575,1430.000925,128.8416675,141.2852994,293.7247015,293.7247015,33.83411118,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
TIL0301,TIL03,0.000828761,63.03462687,526.69341,1104.35715,1413.010815,127.7089935,67.86312784,142.2936551,142.2936551,16.45498422,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
TIL0302,TIL03,0.000828761,63.03462687,526.69341,1104.35715,1413.010815,127.7089935,67.86312784,142.2936551,142.2936551,16.45498422,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
COW0101,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
COW0102,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
COW0103,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
COW0104,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
COW0201,COW02,0.003018925,64.3601456,532.35678,957.10953,1175.149275,76.455495,244.7170455,439.9700074,439.9700074,35.14553314,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
ZERO_Milo,ZERO_Milo,0.002946628,68.93130367,538.02015,1118.515575,1430.000925,128.8416675,225.389407,468.5727146,468.5727146,53.97483168,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_BoomerHill,MAFA_BoomerHill,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
MAFA_CanyonvillePk,MAFA_CanyonvillePk,0.001911913,87.41126233,753.22821,1393.18902,1721.66448,148.946631,161.455739,298.6324194,298.6324194,31.92696191,171003020508,52.74446205,3.33324952,1.580716267,4.913965787,19.78493542,22.11158885
MAFA_CoffeCr1,MAFA_CoffeeCr1,0.000828761,63.03462687,526.69341,1104.35715,1413.010815,127.7089935,67.86312784,142.2936551,142.2936551,16.45498422,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_DaysChute1,MAFA_DaysChute,0.00038084,93.26595507,679.6044,1308.23847,1636.71393,140.451576,27.195806,52.35192656,52.35192656,5.620466574,171003020506,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179
MAFA_DaysChute2,MAFA_DaysChute,0.00038084,93.26595507,679.6044,1308.23847,1636.71393,140.451576,27.195806,52.35192656,52.35192656,5.620466574,171003020506,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179
MAFA_GrassyBeach,MAFA_GrassyBeach,0.001269185,104.54184,654.119235,1279.92162,1605.565395,138.4693965,77.82476495,152.2804925,152.2804925,16.4745931,171003020506,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179
MAFA_HappyValley1,MAFA_HappyValley,0.001023863,205.298773,1679.189205,3114.8535,3851.0916,351.12894,82.06939142,152.2366451,152.2366451,17.16122181,171003021305,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389
MAFA_HappyValley2,MAFA_HappyValley,0.001023863,205.298773,1679.189205,3114.8535,3851.0916,351.12894,82.06939142,152.2366451,152.2366451,17.16122181,171003021305,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389
MAFA_KBarRanch,MAFA_KBarRanch,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
MAFA_OldBridge2,MAFA_OldBridge,0.004957718,78.29432,492.71319,1056.218505,1359.2088,123.1782975,305.7537657,655.4376702,655.4376702,76.43844143,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_OldBridgeSampleSite,MAFA_OldBridge,0.004957718,78.29432,492.71319,1056.218505,1359.2088,123.1782975,305.7537657,655.4376702,655.4376702,76.43844143,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_SaltCr,MAFA_SaltCr,0.001228426,48.45557,396.4359,858.000555,1104.35715,106.471356,98.49275361,213.1664596,213.1664596,26.45233954,171003020306,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449
MAFA_ShafferRanch,MAFA_ShafferRanch,0.003216139,74.19226333,526.69341,1107.188835,1413.010815,127.992162,223.7485295,470.3530916,470.3530916,54.37329857,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_Tiller3,MAFA_Tiller3,0.002648099,158.16196,385.10916,832.51539,1073.208615,104.4891765,63.18909094,136.5999466,136.5999466,17.14468717,171003020306,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449
MAFA_WiegleRd,MAFA_WiegleRd,0.00147014,187.8778182,1489.46631,2749.566135,3398.022,300.15861,114.2194095,210.8498985,210.8498985,23.01759963,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
ZERO_UmpConf,ZERO_UmpConf,0.000303261,122.3085133,1772.63481,3284.7546,4077.6264,385.10916,43.07298367,79.81575248,79.81575248,9.357708912,171003021305,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389