obs_id,site_id,prc_frst,prc_OPN,prc_dvlp,prc_Tdvlp,prc_ag,prc_TH
BKY0101,BKY01,70.92401682,1.920360559,0.550569568,2.470930126,2.804207394,23.51534981
BKY0102,BKY01,70.92401682,1.920360559,0.550569568,2.470930126,2.804207394,23.51534981
BKY0103,BKY01,70.92401682,1.920360559,0.550569568,2.470930126,2.804207394,23.51534981
BKY0201,BKY02,71.35338538,1.920294291,0.522983598,2.443277888,2.631216668,23.29322334
BKY0301,BKY03,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116
BKY0302,BKY03,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116
BKY0303,BKY03,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116
BKY0304,BKY03,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116
BKY0401,BKY04,71.59953816,1.897863179,0.514020067,2.411883246,2.478849778,23.23790602
BKY0402,BKY04,71.59953816,1.897863179,0.514020067,2.411883246,2.478849778,23.23790602
BKY0403,BKY04,71.59953816,1.897863179,0.514020067,2.411883246,2.478849778,23.23790602
BKY0404,BKY04,71.59953816,1.897863179,0.514020067,2.411883246,2.478849778,23.23790602
TIL0201,TIL02,79.38093076,0.235435437,0.020446189,0.255881626,0.154989418,20.11625119
TIL0202,TIL02,79.38093076,0.235435437,0.020446189,0.255881626,0.154989418,20.11625119
TIL0301,TIL03,79.43062426,0.207605427,0.012005652,0.219611078,0.077759684,20.18254748
TIL0302,TIL03,79.43062426,0.207605427,0.012005652,0.219611078,0.077759684,20.18254748
COW0101,COW01,70.64334064,3.54186617,0.431418977,3.973285146,1.028125041,24.11527135
COW0102,COW01,70.64334064,3.54186617,0.431418977,3.973285146,1.028125041,24.11527135
COW0103,COW01,70.64334064,3.54186617,0.431418977,3.973285146,1.028125041,24.11527135
COW0104,COW01,70.64334064,3.54186617,0.431418977,3.973285146,1.028125041,24.11527135
COW0201,COW02,70.81064502,3.471599132,0.441309456,3.912908588,1.100144723,23.92413743
ZERO_Milo,ZERO_Milo,79.38093076,0.235435437,0.020446189,0.255881626,0.154989418,20.11625119
MAFA_BoomerHill,MAFA_BoomerHill,71.59953816,1.897863179,0.514020067,2.411883246,2.478849778,23.23790602
MAFA_CanyonvillePk,MAFA_CanyonvillePk,75.09158092,0.38969123,0.04330455,0.43299578,1.73059101,22.61914469
MAFA_CoffeCr1,MAFA_CoffeeCr1,79.43062426,0.207605427,0.012005652,0.219611078,0.077759684,20.18254748
MAFA_DaysChute1,MAFA_DaysChute,76.47451801,0.319977515,0.033186857,0.353164372,0.567797939,22.48706848
MAFA_DaysChute2,MAFA_DaysChute,76.47451801,0.319977515,0.033186857,0.353164372,0.567797939,22.48706848
MAFA_GrassyBeach,MAFA_GrassyBeach,77.05318861,0.281807497,0.028197304,0.310004801,0.38394685,22.14845798
MAFA_HappyValley1,MAFA_HappyValley,68.71489019,2.289281711,0.728713613,3.017995323,4.389662823,23.5600282
MAFA_HappyValley2,MAFA_HappyValley,68.71489019,2.289281711,0.728713613,3.017995323,4.389662823,23.5600282
MAFA_KBarRanch,MAFA_KBarRanch,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116
MAFA_OldBridge2,MAFA_OldBridge,79.1826917,0.209695301,0.011532923,0.221228224,0.078691491,20.426527
MAFA_OldBridgeSampleSite,MAFA_OldBridge,79.1826917,0.209695301,0.011532923,0.221228224,0.078691491,20.426527
MAFA_SaltCr,MAFA_SaltCr,83.4539078,0.012475876,0.000385058,0.012860934,0.050981667,16.38090236
MAFA_ShafferRanch,MAFA_ShafferRanch,79.41227874,0.21003232,0.012184705,0.222217026,0.077723651,20.1963953
MAFA_Tiller3,MAFA_Tiller3,83.54331174,0.012523876,0.000393833,0.012917709,0.041746254,16.30246342
MAFA_WiegleRd,MAFA_WiegleRd,71.35338538,1.920294291,0.522983598,2.443277888,2.631216668,23.29322334
ZERO_UmpConf,ZERO_UmpConf,65.23187046,2.491439495,1.25825579,3.749695284,6.50569449,24.15902843