site_id,lgth_ft,min_prcntSLPE,max_prcntSLPE,min_SLPE_gradient,max_SLPE_gradient,av_SLPE_gradient,acw1,acw2,acw3,av_acw,PkFld_2yr_ft^3/s,PkFld_5yr_ft^3/s,PkFld_10yr_ft^3/s,PkFld_25yr_ft^3/s,PkFld_100yr_ft^3/s,FlwDur_5perc_ft^3/s,PkFld_2yr_m^3/s,PkFld_5yr_m^3/s,PkFld_10yr_m^3/s,PkFld_25yr_m^3/s,PkFld_100yr_m^3/s,FlwDur_5perc_m^3/s,Tstrpwr_2yr,Sstrpwr_2yr,Tstrpwr_5yr,Sstrpwr_5yr,Tstrpwr_10yr,Sstrpwr_10yr,Tstrpwr_25yr,Sstrpwr_25yr,Tstrpwr_100,Tstrpwr_100,Tstrpwr_5perc,Sstrpwr_5perc
BKY01,2135.145681,0.125049219,0.134887751,0.001250492,0.001348878,0.001299685,120.53316,186.530285,91.8548328,132.9727593,53100,79800,98000,121000,156000,10800,1503.624735,2259.68463,2775.0513,3426.33885,4417.4286,305.82198,19151.53522,144.0260045,28781.40322,216.4458599,35345.5829,265.8107051,35345.5829,265.8107051,56264.39727,423.1272448,3895.227503,29.29342464
BKY02,2629.015473,0.141118302,0.152909674,0.001411183,0.001529097,0.00147014,177.5756,225.92705,160.1308047,187.8778182,52600,79000,97100,120000,155000,10600,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,300.15861,21459.29346,114.2194095,32229.73732,171.5462614,39614.01891,210.8498985,39614.01891,210.8498985,63235.56057,336.5781079,4324.4964,23.01759963
BKY03,2803.699105,0.074545339,0.0816792,0.000745453,0.000816792,0.000781123,144.5732487,223.9496977,142.075799,170.1995818,52600,79000,97100,120000,155000,10600,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,300.15861,11401.86819,66.99116457,17124.47885,100.6141065,21047.93539,123.6661992,21047.93539,123.6661992,33598.66103,197.4074241,2297.714883,13.50012062
BKY04,2956.976319,0.111261561,0.118025632,0.001112616,0.001180256,0.001146436,103.0309393,79.98821933,101.7557927,94.92498378,52600,79000,97100,120000,155000,10700,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,302.990295,16734.26192,176.2893313,25133.20706,264.7691478,30891.57475,325.4314462,30891.57475,325.4314462,49311.98853,519.483771,3404.117918,35.86113774
TIL02,1786.098971,0.230670028,0.258103558,0.0023067,0.002581036,0.002443868,65.159988,136.6572567,71.789392,91.20221223,19000,30900,39500,50500,67700,4550,538.02015,874.990665,1118.515575,1430.000925,1917.050745,128.8416675,12885.53186,141.2852994,20955.94393,229.7745133,26788.34256,293.7247015,26788.34256,293.7247015,45913.18459,503.4218301,3085.745789,33.83411118
TIL03,2069.312279,0.070552957,0.095199164,0.00070553,0.000951992,0.000828761,58.284635,61.484256,69.3349896,63.03462687,18600,30400,39000,49900,67000,4510,526.69341,860.83224,1104.35715,1413.010815,1897.22895,127.7089935,4277.726941,67.86312784,6991.553711,110.9160799,8969.427458,142.2936551,8969.427458,142.2936551,15409.0164,244.4532024,1037.233791,16.45498422
COW01,1956.504187,0.0097113,0.028622377,0.000097113,0.000286224,0.000191668,71.327716,74.47003633,52.491973,66.09657511,19900,29500,36000,44200,56500,2920,563.505315,835.347075,1019.4066,1251.60477,1599.902025,82.685202,1058.460306,16.01384496,1569.074323,23.73911689,1914.802563,28.96976977,1914.802563,28.96976977,3005.176245,45.46644422,155.3117635,2.349770215
COW02,2192.841902,0.276810106,0.326974963,0.002768101,0.00326975,0.003018925,68.8659024,63.8491992,60.3653352,64.3601456,18800,27700,33800,41500,53000,2700,532.35678,784.376745,957.10953,1175.149275,1500.79305,76.455495,15750.02468,244.7170455,23206.15339,360.5671363,28316.53374,439.9700074,28316.53374,439.9700074,44401.66533,689.8937986,2261.97163,35.14553314
MAFA_HappyValley,2749.408311,0.09965857,0.105114034,0.000996586,0.00105114,0.001023863,260.3688373,184.0720207,171.455461,205.298773,59300,89200,110000,136000,175000,12400,1679.189205,2525.86302,3114.8535,3851.0916,4955.44875,351.12894,16848.74536,82.06939142,25344.14985,123.4500795,31253.99645,152.2366451,31253.99645,152.2366451,49722.26708,242.1946627,3523.177782,17.16122181
MAFA_CanyonvillePk,2562.874656,0.181047286,0.201335402,0.001810473,0.002013354,0.001911913,95.94521133,82.606784,83.68179167,87.41126233,26600,40000,49200,60800,78300,5260,753.22821,1132.674,1393.18902,1721.66448,2217.209355,148.946631,14113.04995,161.455739,21222.63151,242.7905849,26103.83676,298.6324194,26103.83676,298.6324194,41543.30118,475.2625699,2790.776043,31.92696191
MAFA_DaysChute,2153.15227,0.030189412,0.045978634,0.000301894,0.000459786,0.00038084,90.7060416,101.083262,88.0085616,93.26595507,24000,37100,46200,57800,75400,4960,679.6044,1050.555135,1308.23847,1636.71393,2135.09049,140.451576,2536.442821,27.195806,3920.917861,42.04018345,4882.65243,52.35192656,4882.65243,52.35192656,7968.657862,85.4401572,524.198183,5.620466574
MAFA_GrassyBeach,2726.175663,0.118115316,0.135721702,0.001181153,0.001357217,0.001269185,95.75864,111.46373,106.40315,104.54184,23100,36000,45200,56700,74600,4890,654.119235,1019.4066,1279.92162,1605.565395,2112.43701,138.4693965,8135.944125,77.82476495,12679.39344,121.285348,15919.68288,152.2804925,15919.68288,152.2804925,26274.52086,251.3301933,1722.284276,16.4745931
MAFA_Milo,2731.931651,0.288807152,0.300518536,0.002888072,0.003005185,0.002946628,60.86102833,71.94920367,73.983679,68.93130367,19000,30900,39500,50500,67700,4550,538.02015,874.990665,1118.515575,1430.000925,1917.050745,128.8416675,15536.38566,225.389407,25267.06931,366.5543514,32299.32808,468.5727146,32299.32808,468.5727146,55358.59521,803.098045,3720.555513,53.97483168
MAFA_ShafferRanch,2190.509291,0.310886515,0.332341343,0.003108865,0.003323413,0.003216139,67.32082,82.65085,72.60512,74.19226333,18600,30500,39100,49900,67100,4520,526.69341,863.663925,1107.188835,1413.010815,1900.060635,127.992162,16600.40982,223.7485295,27221.10213,366.8994705,34896.56043,470.3530916,34896.56043,470.3530916,59886.42468,807.178835,4034.078086,54.37329857
MAFA_OldBridge,1898.05144,0.4741705,0.51737307,0.004741705,0.005173731,0.004957718,61.10157,80.93956,92.84183,78.29432,17400,28900,37300,48000,65100,4350,492.71319,818.356965,1056.218505,1359.2088,1843.426935,123.1782975,23938.78317,305.7537657,39760.39274,507.832404,51317.04669,655.4376702,51317.04669,655.4376702,89564.06808,1143.940813,5984.695794,76.43844143
MAFA_SaltCr,2022.926795,0.102327331,0.143357832,0.001023273,0.001433578,0.001228426,36.69776,49.6509,59.01805,48.45557,14000,23400,30300,39000,52900,3760,396.4359,662.61429,858.000555,1104.35715,1497.961365,106.471356,4772.522517,98.49275361,7976.930492,164.6236025,10329.1023,213.1664596,10329.1023,213.1664596,18033.31722,372.1619047,1281.76319,26.45233954
MAFA_Tiller3,2146.845319,0.252931776,0.276688029,0.002529318,0.00276688,0.002648099,85.11999,232.27807,157.08782,158.16196,13600,22700,29400,37900,51400,3690,385.10916,642.792495,832.51539,1073.208615,1455.48609,104.4891765,9994.110473,63.18909094,16681.34616,105.4700268,21604.91529,136.5999466,21604.91529,136.5999466,37771.8587,238.8175937,2711.637327,17.14468717
MAFA_BoomerHill,2956.976319,0.111261561,0.118025632,0.001112616,0.001180256,0.001146436,103.0309393,79.98821933,101.7557927,94.92498378,52600,79000,97100,120000,155000,10700,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,302.990295,16734.26192,176.2893313,25133.20706,264.7691478,30891.57475,325.4314462,30891.57475,325.4314462,49311.98853,519.483771,3404.117918,35.86113774
MAFA_CoffeeCr1,2069.312279,0.070552957,0.095199164,0.00070553,0.000951992,0.000828761,58.284635,61.484256,69.3349896,63.03462687,18600,30400,39000,49900,67000,4510,526.69341,860.83224,1104.35715,1413.010815,1897.22895,127.7089935,4277.726941,67.86312784,6991.553711,110.9160799,8969.427458,142.2936551,8969.427458,142.2936551,15409.0164,244.4532024,1037.233791,16.45498422
MAFA_KBarRanch,2803.699105,0.074545339,0.0816792,0.000745453,0.000816792,0.000781123,144.5732487,223.9496977,142.075799,170.1995818,52600,79000,97100,120000,155000,10600,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,300.15861,11401.86819,66.99116457,17124.47885,100.6141065,21047.93539,123.6661992,21047.93539,123.6661992,33598.66103,197.4074241,2297.714883,13.50012062
MAFA_WiegleRd,2629.015473,0.141118302,0.152909674,0.001411183,0.001529097,0.00147014,177.5756,225.92705,160.1308047,187.8778182,52600,79000,97100,120000,155000,10600,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,300.15861,21459.29346,114.2194095,32229.73732,171.5462614,39614.01891,210.8498985,39614.01891,210.8498985,63235.56057,336.5781079,4324.4964,23.01759963
ZERO_CowCr,2836.144028,0.396665328,0.41641034,0.003966653,0.004164103,0.004065378,61.00517,53.14958,93.68628,69.28034333,21300,31600,38500,47300,60500,3110,603.148905,894.81246,1090.198725,1339.387005,1713.169425,88.0654035,24029.87924,346.8498868,35649.96169,514.5754189,43434.28877,626.9352414,43434.28877,626.9352414,68253.88235,985.1839507,3508.588002,50.64334028
ZERO_UmpConf,2473.118743,0.027900076,0.032752087,0.000279001,0.000327521,0.000303261,100.33803,102.29529,164.29222,122.3085133,62600,94400,116000,144000,186000,13600,1772.63481,2673.11064,3284.7546,4077.6264,5266.9341,385.10916,5268.192597,43.07298367,7944.367111,64.95350892,9762.146026,79.81575248,9762.146026,79.81575248,15653.09621,127.9804307,1144.527465,9.357708912